#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_100_0;100.0;100.0;100.0;;100.0;;;;;;;;;x
b_100_0_adj;100.0ian;;100.0er;;;;;;;;;;;x
b_101_0;101.0;101.0;101.0;;101.0;;;;;;;;;x
b_101_0_adj;101.0ian;;101.0er;;;;;;;;;;;x
b_102_0;102.0;102.0;102.0;;102.0;;;;;;;;;x
b_102_0_adj;102.0ian;;102.0er;;;;;;;;;;;x
b_103_0;103.0;103.0;103.0;;103.0;;;;;;;;;x
b_103_0_adj;103.0ian;;103.0er;;;;;;;;;;;x
b_104_0;104.0;104.0;104.0;;104.0;;;;;;;;;x
b_104_0_adj;104.0ian;;104.0er;;;;;;;;;;;x
b_105_0;105.0;105.0;105.0;;105.0;;;;;;;;;x
b_105_0_adj;105.0ian;;105.0er;;;;;;;;;;;x
b_106_0;106.0;106.0;106.0;;106.0;;;;;;;;;x
b_106_0_adj;106.0ian;;106.0er;;;;;;;;;;;x
b_107_0;107.0;107.0;107.0;;107.0;;;;;;;;;x
b_107_0_adj;107.0ian;;107.0er;;;;;;;;;;;x
b_108_0;108.0;108.0;108.0;;108.0;;;;;;;;;x
b_108_0_adj;108.0ian;;108.0er;;;;;;;;;;;x
b_109_0;109.0;109.0;109.0;;109.0;;;;;;;;;x
b_109_0_adj;109.0ian;;109.0er;;;;;;;;;;;x
b_10_0;10.0;10.0;10.0;;10.0;;;;;;;;;x
b_10_0_adj;10.0ian;;10.0er;;;;;;;;;;;x
b_110_0;110.0;110.0;110.0;;110.0;;;;;;;;;x
b_110_0_adj;110.0ian;;110.0er;;;;;;;;;;;x
b_111_0;111.0;111.0;111.0;;111.0;;;;;;;;;x
b_111_0_adj;111.0ian;;111.0er;;;;;;;;;;;x
b_112_0;112.0;112.0;112.0;;112.0;;;;;;;;;x
b_112_0_adj;112.0ian;;112.0er;;;;;;;;;;;x
b_113_0;113.0;113.0;113.0;;113.0;;;;;;;;;x
b_113_0_adj;113.0ian;;113.0er;;;;;;;;;;;x
b_114_0;114.0;114.0;114.0;;114.0;;;;;;;;;x
b_114_0_adj;114.0ian;;114.0er;;;;;;;;;;;x
b_115_0;115.0;115.0;115.0;;115.0;;;;;;;;;x
b_115_0_adj;115.0ian;;115.0er;;;;;;;;;;;x
b_116_0;116.0;116.0;116.0;;116.0;;;;;;;;;x
b_116_0_adj;116.0ian;;116.0er;;;;;;;;;;;x
b_117_0;117.0;117.0;117.0;;117.0;;;;;;;;;x
b_117_0_adj;117.0ian;;117.0er;;;;;;;;;;;x
b_118_0;118.0;118.0;118.0;;118.0;;;;;;;;;x
b_118_0_adj;118.0ian;;118.0er;;;;;;;;;;;x
b_119_0;119.0;119.0;119.0;;119.0;;;;;;;;;x
b_119_0_adj;119.0ian;;119.0er;;;;;;;;;;;x
b_11_0;11.0;11.0;11.0;;11.0;;;;;;;;;x
b_11_0_adj;11.0ian;;11.0er;;;;;;;;;;;x
b_120_0;120.0;120.0;120.0;;120.0;;;;;;;;;x
b_120_0_adj;120.0ian;;120.0er;;;;;;;;;;;x
b_121_0;121.0;121.0;121.0;;121.0;;;;;;;;;x
b_121_0_adj;121.0ian;;121.0er;;;;;;;;;;;x
b_122_0;122.0;122.0;122.0;;122.0;;;;;;;;;x
