#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_church_of_the_three;Church of the Three;;;;;;;;;;;;;x
d_church_of_the_three_adj;Church of the Three ian;;Church of the Three er;;;;;;;;;;;x
d_duc;duc;duc;duc;;duc;;;;;;;;;x
d_duc_adj;ducian;;ducer;;;;;;;;;;;x
d_duc2;duc2;duc2;duc2;;duc2;;;;;;;;;x
d_duc2_adj;duc2ian;;duc2er;;;;;;;;;;;x
d_duc3;duc3;duc3;duc3;;duc3;;;;;;;;;x
d_duc3_adj;duc3ian;;duc3er;;;;;;;;;;;x
d_ducjungle;ducjungle;ducjungle;ducjungle;;ducjungle;;;;;;;;;x
d_ducjungle_adj;ducjunglean;;ducjungler;;;;;;;;;;;x
d_eastjilia1;EastJilia1;EastJilia1;EastJilia1;;EastJilia1;;;;;;;;;x
d_eastjilia1_adj;EastJilia1ian;;eastjilia1er;;;;;;;;;;;x
d_eastjilia10;EastJilia10;EastJilia10;EastJilia10;;EastJilia10;;;;;;;;;x
d_eastjilia10_adj;EastJilia10ian;;eastjilia10er;;;;;;;;;;;x
d_eastjilia11;EastJilia11;EastJilia11;EastJilia11;;EastJilia11;;;;;;;;;x
d_eastjilia11_adj;EastJilia11ian;;eastjilia11er;;;;;;;;;;;x
d_eastjilia12;EastJilia12;EastJilia12;EastJilia12;;EastJilia12;;;;;;;;;x
d_eastjilia12_adj;EastJilia12ian;;eastjilia12er;;;;;;;;;;;x
d_eastjilia13;EastJilia13;EastJilia13;EastJilia13;;EastJilia13;;;;;;;;;x
d_eastjilia13_adj;EastJilia13ian;;eastjilia13er;;;;;;;;;;;x
d_eastjilia14;EastJilia14;EastJilia14;EastJilia14;;EastJilia14;;;;;;;;;x
d_eastjilia14_adj;EastJilia14ian;;eastjilia14er;;;;;;;;;;;x
d_eastjilia15;EastJilia15;EastJilia15;EastJilia15;;EastJilia15;;;;;;;;;x
d_eastjilia15_adj;EastJilia15ian;;eastjilia15er;;;;;;;;;;;x
d_eastjilia16;EastJilia16;EastJilia16;EastJilia16;;EastJilia16;;;;;;;;;x
d_eastjilia16_adj;EastJilia16ian;;eastjilia16er;;;;;;;;;;;x
d_eastjilia17;EastJilia17;EastJilia17;EastJilia17;;EastJilia17;;;;;;;;;x
d_eastjilia17_adj;EastJilia17ian;;eastjilia17er;;;;;;;;;;;x
d_eastjilia18;EastJilia18;EastJilia18;EastJilia18;;EastJilia18;;;;;;;;;x
d_eastjilia18_adj;EastJilia18ian;;eastjilia18er;;;;;;;;;;;x
d_eastjilia19;EastJilia19;EastJilia19;EastJilia19;;EastJilia19;;;;;;;;;x
d_eastjilia19_adj;EastJilia19ian;;eastjilia19er;;;;;;;;;;;x
d_eastjilia1Siren;eastjilia1Siren;eastjilia1Siren;eastjilia1Siren;;eastjilia1Siren;;;;;;;;;x
d_eastjilia1Siren_adj;eastjilia1Sirenian;;eastjilia1Sirener;;;;;;;;;;;x
d_eastjilia2;EastJilia2;EastJilia2;EastJilia2;;EastJilia2;;;;;;;;;x
d_eastjilia2_adj;EastJilia2ian;;eastjilia2er;;;;;;;;;;;x
d_eastjilia20;EastJilia20;EastJilia20;EastJilia20;;EastJilia20;;;;;;;;;x
d_eastjilia20_adj;EastJilia20ian;;eastjilia20er;;;;;;;;;;;x
d_eastjilia21;EastJilia21;EastJilia21;EastJilia21;;EastJilia21;;;;;;;;;x
d_eastjilia21_adj;EastJilia21ian;;eastjilia21er;;;;;;;;;;;x
d_eastjilia22;EastJilia22;EastJilia22;EastJilia22;;EastJilia22;;;;;;;;;x
d_eastjilia22_adj;EastJilia22ian;;eastjilia22er;;;;;;;;;;;x
d_eastjilia23;EastJilia23;EastJilia23;EastJilia23;;EastJilia23;;;;;;;;;x
d_eastjilia23_adj;EastJilia23ian;;eastjilia23er;;;;;;;;;;;x
d_eastjilia3;EastJilia3;EastJilia3;EastJilia3;;EastJilia3;;;;;;;;;x
d_eastjilia3_adj;EastJilia3ian;;eastjilia3er;;;;;;;;;;;x
d_eastjilia4;EastJilia4;EastJilia4;EastJilia4;;EastJilia4;;;;;;;;;x
d_eastjilia4_adj;EastJilia4ian;;eastjilia4er;;;;;;;;;;;x
d_eastjilia5;EastJilia5;EastJilia5;EastJilia5;;EastJilia5;;;;;;;;;x
d_eastjilia5_adj;EastJilia5ian;;eastjilia5er;;;;;;;;;;;x
d_eastjilia6;EastJilia6;EastJilia6;EastJilia6;;EastJilia6;;;;;;;;;x
d_eastjilia6_adj;EastJilia6ian;;eastjilia6er;;;;;;;;;;;x
d_eastjilia7;EastJilia7;EastJilia7;EastJilia7;;EastJilia7;;;;;;;;;x
d_eastjilia7_adj;EastJilia7ian;;eastjilia7er;;;;;;;;;;;x
d_eastjilia8;EastJilia8;EastJilia8;EastJilia8;;EastJilia8;;;;;;;;;x
d_eastjilia8_adj;EastJilia8ian;;eastjilia8er;;;;;;;;;;;x
d_eastjilia9;EastJilia9;EastJilia9;EastJilia9;;EastJilia9;;;;;;;;;x
d_eastjilia9_adj;EastJilia9ian;;eastjilia9er;;;;;;;;;;;x
d_esterwatch;Esterwatch;Esterwatch;Esterwatch;;Esterwatch;;;;;;;;;x
d_esterwatch_adj;Esterwatchian;;esterwatcher;;;;;;;;;;;x
d_fothern;Fothern;Fothern;Fothern;;Fothern;;;;;;;;;x
d_fothern_adj;Fothernian;;fotherner;;;;;;;;;;;x
d_gostland;Rockwatch;Rockwatch;Rockwatch;;Rockwatch;;;;;;;;;x
d_gostland_adj;Rockwatchian;;Rockwatcher;;;;;;;;;;;x
d_gutremarch;Gutremarch;Gutremarch;Gutremarch;;Gutremarch;;;;;;;;;x
d_gutremarch_adj;Gutremarchian;;gutremarcher;;;;;;;;;;;x
d_jordencastle;Jordencastle;Jordencastle;Jordencastle;;Jordencastle;;;;;;;;;x
d_jordencastle_adj;Jordencastlean;;jordencastler;;;;;;;;;;;x
d_koroo;Koroo;Koroo;Koroo;;Koroo;;;;;;;;;x
d_koroo_adj;Korian;;korer;;;;;;;;;;;x
d_longland;Kraken's Watch;Kraken's Watch;Kraken's Watch;;Kraken's Watch;;;;;;;;;x
d_longland_adj;Kraken's Watchian;;Kraken's Watcher;;;;;;;;;;;x
d_medeland;Medeland;Medeland;Medeland;;Medeland;;;;;;;;;x
d_medeland_adj;Medelandian;;medelander;;;;;;;;;;;x
d_nejilia1;NEJilia1;NEJilia1;NEJilia1;;NEJilia1;;;;;;;;;x
d_nejilia1_adj;NEJilia1ian;;nejilia1er;;;;;;;;;;;x
d_nejilia2;NEJilia2;NEJilia2;NEJilia2;;NEJilia2;;;;;;;;;x
d_nejilia2_adj;NEJilia2ian;;nejilia2er;;;;;;;;;;;x
d_nejilia3;NEJilia3;NEJilia3;NEJilia3;;NEJilia3;;;;;;;;;x
d_nejilia3_adj;NEJilia3ian;;nejilia3er;;;;;;;;;;;x
d_nejilia4;NEJilia4;NEJilia4;NEJilia4;;NEJilia4;;;;;;;;;x
d_nejilia4_adj;NEJilia4ian;;nejilia4er;;;;;;;;;;;x
d_nejilia5;NEJilia5;NEJilia5;NEJilia5;;NEJilia5;;;;;;;;;x
d_nejilia5_adj;NEJilia5ian;;nejilia5er;;;;;;;;;;;x
d_nejilia6;NEJilia6;NEJilia6;NEJilia6;;NEJilia6;;;;;;;;;x
d_nejilia6_adj;NEJilia6ian;;nejilia6er;;;;;;;;;;;x
d_nejilia7;NEJilia7;NEJilia7;NEJilia7;;NEJilia7;;;;;;;;;x
d_nejilia7_adj;NEJilia7ian;;nejilia7er;;;;;;;;;;;x
d_ninba;Ninba;Ninba;Ninba;;Ninba;;;;;;;;;x
d_ninba_adj;Ninban;;ninber;;;;;;;;;;;x
d_northjilia1;NorthJilia1;NorthJilia1;NorthJilia1;;NorthJilia1;;;;;;;;;x
d_northjilia1_adj;NorthJilia1ian;;northjilia1er;;;;;;;;;;;x
d_northjilia2;NorthJilia2;NorthJilia2;NorthJilia2;;NorthJilia2;;;;;;;;;x
