#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
e_emp;emp;emp;emp;;emp;;;;;;;;;x
e_emp_adj;empian;;emper;;;;;;;;;;;x
e_emp2;emp2;emp2;emp2;;emp2;;;;;;;;;x
e_emp2_adj;emp2ian;;emp2er;;;;;;;;;;;x
e_empjungle;empjungle;empjungle;empjungle;;empjungle;;;;;;;;;x
e_empjungle_adj;empjunglean;;empjungler;;;;;;;;;;;x
e_emptemp;emptemp;emptemp;emptemp;;emptemp;;;;;;;;;x
e_emptemp_adj;emptempian;;emptemper;;;;;;;;;;;x
e_greater_redland;Greater Redland;Greater Redland;Greater Redland;;Greater Redland;;;;;;;;;x
e_greater_redland_adj;Greater Redlandian;;Greater Redlander;;;;;;;;;;;x
