#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
absentminded;Absentminded;Distrait;;;;;;;;;;;;x
absentminded_desc;This erratic character was born with a scatterbrained temperament. They tend to forget things easily, get distracted too easily, or both. This behavior may be endearing to some, but to others it is an annoyance.;
Ce personnage erratique est ne avec un temperament ecervele. Ils ont tendance a oublier facilement les choses, se distraire trop facilement, ou les deux. Ce comportement peut être attachant pour certains, mais pour d'autres c'est un désagrement;x;;x;;;;;;;;;x
agile;Energetic;Energique;;;;;;;;;;;;x
agile_desc;This character is very energetic.;Ce personnage est tres energique;;;;;;;;;;;;x
agile_1;Lithe;Souple;;;;;;;;;;;;x
agile_1_desc;This character is very lithe.;Ce personnage est tres souple;;;;;;;;;;;;x
agile_2;Agile;Agile;;;;;;;;;;;;x
agile_2_desc;This character is very agile.;Ce personnage est tres agile;;;;;;;;;;;;x
ambidextrous;Ambidextrous;Ambidextre;;;;;;;;;;;;x
ambidextrous_desc;This character can naturally use both hands with equal skill. As a result, they are more efficient in whatever they do, whether it is swinging swords or writing letters.;Ce personnage peut naturellement utiliser les deux mains avec des competences égales. En consequence, ils sont plus efficaces dans tout ce qu'ils font, que ce soit des epees ou ecrire des lettres.;x;;x;;;;;;;;;x
blind;Blind;Aveugle;;;;;;;;;;;;x
blind_desc;This character was unfortunate enough to be born with limited to no sight at all. Such a disability limits their ability to function.;Ce personnage a eu la malchance d'etre ne avec une vue limitee ou nulle. Une telle incapacite limite leur capacite a fonctionner;;;;;;;;;;;;x
calming_voice;Calm Voice;Voix calme;;;;;;;;;;;;x
calming_voice_desc;This character has a very calming voice.;Ce personnage a une voix tres calme;;;;;;;;;;;;x
calming_voice_1;Smooth Voice;Voix douce;;;;;;;;;;;;x
calming_voice_1_desc;This character has a very smooth voice.;Ce personnage a une douce voix;;;;;;;;;;;;x
calming_voice_2;Tranquil Voice;Voix tranquille;;;;;;;;;;;;x
calming_voice_2_desc;This character has a very tranquil voice.;Ce caractere a une voix tranquille;;;;;;;;;;;;x
deaf;Deaf;Sourd;;;;;;;;;;;;x
deaf_desc;This character was unfortunate enough to be born with limited to no hearing at all. Such a disability limits their ability to function.;
Ce personnage a eu la malchance d'etre ne avec une ecoute limitee ou nulle. Une telle incapacite limite leur capacite a fonctionner;x;;x;;;;;;;;;x
dwarf;Short;Petit;;;;;;;;;;;;x
dwarf_desc;This unfortunate character was born short.;Ce personnage est ne petit;;;;;;;;;;;;x
dwarf_1;Small;Maigre;;;;;;;;;;;;x
dwarf_1_desc;This unfortunate character was born with a small height.;Ce personnage est ne avec une faible carrure;;;;;;;;;;;;x
dwarf_2;Dwarf;Nain;;;;;;;;;;;;x
dwarf_2_desc;This unfortunate character was born a dwarf.;Ce personnage est ne nain;;;;;;;;;;;;x
fair;Appealing;Attirant;;;;;;;;;;;;x
fair_desc;This character has an appealing appearance;Ce personnage a une attirante apparence;;;;;;;;;;;;x
fair_1;Attractive;Attractif;;;;;;;;;;;;x
fair_1_desc;This character has an attractive appearance;Ce personna a une apparence attractive;;;;;;;;;;;;x
fair_2;Immaculate;Immacule;;;;;;;;;;;;x
fair_2_desc;This character has an immaculate appearance. ;Ce personnage a une apparence immaculee;;;;;;;;;;;;x
fertile;Fruitful;Fructueux;;;;;;;;;;;;x
fertile_desc;This character was blessed to be born fruitful.;Ce personnage a ete beni pour naître fecond;;;;;;;;;;;;x
fertile_1;Fertile;Fertile;;;;;;;;;;;;x
fertile_1_desc;This character was blessed to be born fertile.;Ce personnage a ete beni pour etre ne fertile;;;;;;;;;;;;x
fertile_2;Prolific;Prolifique;;;;;;;;;;;;x
fertile_2_desc;This character was blessed to be born prolific.;Ce personnage a ete beni pour etre ne prolifique;;;;;;;;;;;;x
genius;Wise;Sage;;;;;;;;;;;;x
genius_desc;This character is blessed with a decent intellect.;
Ce personnage est beni avec un intellect decent.;;;;;;;;;;;;x
genius_1;Genius;Genie;;;;;;;;;;;;x
genius_1_desc;This character is blessed with a great intellect.;Ce personnage est beni avec une grande intelligence;;;;;;;;;;;;x
genius_2;Brilliant;Brillant;;;;;;;;;;;;x
genius_2_desc;This character is blessed with a towering intellect.;Ce personnage est beni avec un intellect dominant.
;;;;;;;;;;;;x
imbecile;Simple;Nigaud;;;;;;;;;;;;x
imbecile_desc;This character is a simpleton.;Ce personnage est un nigaud;;;;;;;;;;;;x
imbecile_1;Thick;Fort;;;;;;;;;;;;x
imbecile_1_desc;This character is thick.;Ce personnage a une forte carrure;;;;;;;;;;;;x
imbecile_2;Imbecile;Imbecile;;;;;;;;;;;;x
imbecile_2_desc;This character is a drooling imbecile.;Ce personnage est un imbecile;;;;;;;;;;;;x
imposing;Imposing;Imposant;;;;;;;;;;;;x
imposing_desc;Whether because of their physical stature or just their typical complexion, this character has a striking posture and a commanding presence. To some, they are even terrifying at times.;Que ce soit en raison de sa stature physique ou simplement de son teint typique, ce personnage a une posture frappante et une presence imposante. Pour certains, ils sont meme terrifiants parfois;;;;;;;;;;;;x
infertile;Unfruitful;Infructueux;;;;;;;;;;;;x
infertile_desc;This character was unfortunate enough to be born unfruitful.;Ce personnage etait assez malheureux pour naitre infructueux;;;;;;;;;;;;x
infertile_1;Infertile;Infertile;;;;;;;;;;;;x
infertile_1_desc;This character was unfortunate enough to be born infertile.;Ce personnage etait assez malheureux pour naitre infertile;;;;;;;;;;;;x
infertile_2;Barren;Sterile;;;;;;;;;;;;x
infertile_2_desc;This character was unfortunate enough to be born barren;Ce personnage etait assez malheureux pour naitre sterile;;;;;;;;;;;;x
lazy;Passive;Passif;;;;;;;;;;;;x
lazy_desc;This character is rather passive.;Ce personnage est plutot passif;;;;;;;;;;;;x
lazy_1;Laggard;Trainard;;;;;;;;;;;;x
lazy_1_desc;This character is a bit of a laggard.;Ce personnage est un peu a la traine;;;;;;;;;;;;x
lazy_1_death; a laggard;;;;;;;;;;;;;x
lazy_2;Lazy;Feignant;;;;;;;;;;;;x
lazy_2_desc;This character is lazy.;Ce personnage est feignant;;;;;;;;;;;;x
lazy_2_death; as they were too lazy to summon a Maester;;;;;;;;;;;;;x
lefthanded;Left Handed;Gaucher;;;;;;;;;;;;x
lefthanded_desc;This character is better at using their left hand than their right hand. It offers them many advantages when dealing with others, but it is viewed as impious by religious authorities.;Ce personnage utilise mieux sa main gauche que sa main droite. Il leur offre de nombreux avantages lorsqu'ils traitent avec d'autres, mais il est considere comme impie par les autorites religieuses.;x;;x;;;;;;;;;x
lisp;Slur;Insultant;;;;;;;;;;;;x
lisp_desc;This character has a slur to their speech.;Ce caractere a un discours insultant;;;;;;;;;;;;x
lisp_1;Sputter;Bafouille;;;;;;;;;;;;x
lisp_1_desc;This character has a sputter to their speech.;Ce personnage bafouille pendant qu'il parle;;;;;;;;;;;;x
lisp_2;Lisp;Zezaye;;;;;;;;;;;;x
lisp_2_desc;This character has a lisp to their speech.;Ce personnage a un cheveux sur la langue;;;;;;;;;;;;x
melodious_voice;Pleasing Voice;Voix plaisante;;;;;;;;;;;;x
melodious_voice_desc;This character has a very pleasing voice.;Ce personnage a une voix tres plaisante;;;;;;;;;;;;x
melodious_voice_1;Resonant Voice;Voix resonnante;;;;;;;;;;;;x
